Change,Analyst,Recommendation,Date
Maintains,Barclays,to Equal-Weight,1/21/2016
Maintains,Deutsche Bank,to Buy,12/21/2015
Upgrade,JP Morgan,Neutral to Overweight,12/16/2015
Maintains,Argus,to Buy,5/5/2018
Maintains,Barclays,to Equal-Weight,11/9/2015
Downgrade,Wolfe Research,to Peer Perform,10/29/2015
Upgrade,Drexel Hamilton,Hold to Buy,10/28/2015
Maintains,Barclays,to Equal-Weight,10/12/2015
Upgrade,JP Morgan,Underweight to Neutral,10/12/2015
Initiated,JP Morgan,to Underweight,7/14/2015
Maintains,Deutsche Bank,to Buy,7/10/2015
Maintains,Jefferies,to Buy,4/30/2015
Maintains,Deutsche Bank,to Buy,3/19/2015
Downgrade,Bernstein,Outperform to Market Perform,2/18/2015
Maintains,Barclays,to Equal-Weight,2/12/2015
Maintains,Citigroup,to Buy,1/30/2015
Maintains,Deutsche Bank,to Buy,1/5/2015
Maintains,Citigroup,to Buy,12/19/2014
Maintains,Bank of America,to Neutral,12/5/2014
Maintains,Barclays,to Equal-Weight,11/10/2014
Maintains,JP Morgan,to Neutral,10/23/2014
Upgrade,Argus Capital,Hold to Buy,9/25/2014
Upgrade,RBC Capital,Sector Perform to Outperform,9/2/2014
Maintains,Barclays,to Equal-Weight,8/11/2014
Maintains,Credit Suisse,to Neutral,7/28/2014
Maintains,JP Morgan,to Neutral,7/24/2014
Maintains,Jefferies,to Buy,7/24/2014
Maintains,Deutsche Bank,to Hold,7/24/2014
Maintains,Citigroup,to Buy,7/11/2014
Maintains,Jefferies,to Buy,4/24/2014
Maintains,Deutsche Bank,to Hold,4/24/2014
Maintains,Credit Suisse,to Neutral,4/24/2014
Maintains,CRT Capital,to Fair Value,4/24/2014
Maintains,Citigroup,to Buy,4/24/2014
Maintains,Citigroup,to Buy,4/9/2014
Maintains,Deutsche Bank,to Hold,4/7/2014
Initiated,Morgan Stanley,to Equal-Weight,3/5/2014
Upgrade,Drexel Hamilton,Hold to Buy,2/3/2014
Maintains,Bank of America,to Neutral,1/7/2014
Upgrade,UBS,Sell to Neutral,8/19/2013
Upgrade,Bank of America,Underperform to Neutral,7/25/2013
Maintains,Deutsche Bank,to Hold,7/10/2013
Upgrade,Goldman Sachs,Neutral to Buy,5/30/2013
Upgrade,Drexel Hamilton,Hold to Buy,5/20/2013
Upgrade,CRT Capital,Sell to Fair Value,5/20/2013
Maintains,JP Morgan,to Neutral,5/17/2013
Upgrade,Drexel Hamilton,Sell to Hold,4/11/2013
Upgrade,JP Morgan,Underweight to Neutral,4/8/2013
Maintains,Bank of America,to Underperform,1/31/2013
Maintains,Credit Suisse,to Neutral,1/31/2013
Downgrade,JP Morgan,Neutral to Underweight,1/8/2013
Upgrade,RBC Capital,Underperform to Sector Perform,1/7/2013
Maintains,Barclays,to Equal-Weight,11/5/2012
Maintains,Credit Suisse,to Neutral,10/25/2012
Maintains,Jefferies,to Buy,10/25/2012
Downgrade,Oppenheimer,Outperform to Perform,10/19/2012
Maintains,Citigroup,to Buy,10/16/2012
Maintains,Deutsche Bank,to Hold,10/8/2012
Downgrade,UBS,Neutral to Sell,9/13/2012
Upgrade,Goldman Sachs,to Neutral,5/24/2012
Maintains,Bank oferica,to Underperform,4/26/2012
Maintains,Credit Suisse,to Neutral,4/26/2012
Maintains,Deutsche Bank,to Hold,4/11/2012
